around_restaurant_No,around_restaurant_average_price,bus_station_No,busline_No,competitor_No,estate_average_price,group,real_estate_No,shopping_mall_No,transportation_subway_No,uid,university_No
66,40.538,2,15,4,52705.555,1,325,0,1,13ae42c74ceff7ae88b98824,11
38,98.129,3,12,5,47458.955,0,471,0,1,4a109a968c64cb7c1d580073,0
16,64.127,3,19,7,49193.029,1,199,0,0,814735439d13d46c86420e71,0
35,40.611,4,32,8,44380.875,0,407,0,0,9fbfeef26441035cede4a553,2
55,48.107,5,47,7,40724.359,0,286,0,1,373cf757b9851d774354d74d,7
59,50.267,4,32,7,45313.829,0,392,0,1,2ed1701217c628894afc8def,3
33,43.514,4,32,8,45813.387,0,388,0,0,c0f700ded4a5a7a131870ac0,2
58,41.182,4,26,4,44627.457,0,356,0,1,ef773a0f95c0412d22022050,8
49,25.137,6,35,8,43158.71,0,408,0,0,2cb435879e801a6bf33cba36,2
49,31.34,6,49,9,44155.656,0,397,0,0,6281a9bb16c893f2471a32cf,2
26,44.617,4,29,11,45818.633,0,379,0,0,75e0a3c9f598a99a601809f6,2
27,44.617,5,46,11,45605.29,0,381,0,0,7adf2ea68af6dc5a4107c1c0,2
26,136.423,3,20,8,63392.841,1,383,0,0,75036835ef8acfb65f0d028f,2
94,67.419,3,33,7,59336.688,1,354,0,0,56f2f696915b05990aa8d463,2
94,67.419,2,7,7,59336.688,1,354,0,0,6c49d8380284c99316c905f4,2
147,52.02,3,28,7,65821.862,3,378,0,0,f873771d29dd59c82811d142,6
96,67.419,3,17,7,59688.479,1,374,0,0,4603d10de38e1d78c27da200,2
165,49.776,3,22,5,75313.321,3,425,0,1,04bdf4a39d954d56344aaebc,10
94,67.419,3,33,7,59336.688,1,354,0,0,78bd50f7c522ac4231870a54,2
174,48.728,2,18,5,68050.828,3,398,0,1,5e53af1aab43c7464051c090,9
94,67.419,3,33,7,59336.688,1,354,0,0,7b346093b4739b5e5fbe861e,2
94,67.419,3,33,7,59336.688,1,354,0,0,56ae896430e77b043c9a5e6f,2
121,79.279,3,23,5,71163.742,3,422,0,1,587c25e0614370279cec2b01,19
134,74.804,3,23,5,73381.556,3,405,0,1,0c7c41e6f91faecc293a9f65,12
17,28.917,3,40,4,58179.717,1,414,0,0,18821288723c639bb4265507,47
